p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacity,source
美的（Midea） 省电星 变频 冷暖 壁挂式空调 节能静音 KFR-35GW/BP2DN1Y-DA400(B3,美的空调深圳留美专卖店,10899953240,3599.00,3399.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 省电星 变频 冷暖 壁挂式空调 节能静音 KFR-35GW/BP2DN1Y-DA400(B3 10899953240 美的空调深圳留美专卖店 34.0kg 中国大陆 变频 冷暖空调 变频空调 白色 1.5匹 三级能效 10-15㎡ 壁挂式空调,美的,变频,美的（Midea） 省电星 变频 冷暖 壁挂式空调 节能静音 KFR-35GW/BP2DN1Y-DA400(B3,1.5匹,京东
奥克斯（AUX） 变频冷暖家用壁挂式空调挂机智能WIF APP控制二级能效 极悦 35GW/BPAYA600(A2)大1.5匹,深远航专营店,11598558539,3499.00,3099.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX） 变频冷暖家用壁挂式空调挂机智能WIF APP控制二级能效 极悦 35GW/BPAYA600(A2)大1.5匹 11598558539 深远航专营店 10.3kg 中国大陆 KFR-26GW/BPAYA600(A2) 变频 冷暖空调 智能空调，变频空调，静音空调，全直流变频，自动清洁 白色 1匹 二级能效 15-20㎡ 壁挂式空调,奥克斯,变频,奥克斯（AUX） 变频冷暖家用壁挂式空调挂机智能WIF APP控制二级能效 极悦 35GW/BPAYA600(A2)大1.5匹,1匹,京东
奥克斯（AUX） 黄金侠系列一级能效变频挂机 智能WIFI 速冷速热 大1.5匹(KFR-35GW/BpTYC1+1),奥克斯空调华北正瑞专卖店,12900851231,5299.00,2849.00,30,92,30,1,2,态度好 特别快,奥克斯（AUX） 奥克斯（AUX） 黄金侠系列一级能效变频挂机 智能WIFI 速冷速热 大1.5匹(KFR-35GW/BpTYC1+1) 12900851231 奥克斯空调华北正瑞专卖店 13.5kg 中国大陆 变频 冷暖空调 其他 1.5匹 一级能效 15-20㎡ 壁挂式空调,奥克斯,变频,奥克斯（AUX） 黄金侠系列一级能效变频挂机 智能WIFI 速冷速热 大1.5匹(KFR-35GW/BpTYC1+1),1.5匹,京东
松下 直流变频冷暖 人体感应 节能导航 家用壁挂式 空调挂机 大1匹（KFR-26G/BpLJ1）,松下电器专卖店,12854791313,6998.00,2898.00,40,93,30,2,1,性价比高 特别快,松下 松下 直流变频冷暖 人体感应 节能导航 家用壁挂式 空调挂机 大1匹（KFR-26G/BpLJ1） 12854791313 松下电器专卖店 66.0kg 中国大陆 变频 冷暖空调 变频空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,松下,变频,松下 直流变频冷暖 人体感应 节能导航 家用壁挂式 空调挂机 大1匹（KFR-26G/BpLJ1）,1.5匹,京东
奥克斯（AUX） 空调挂机 变频 冷暖 一级能效 （KFR-35GW/BpTLP1+1） 大1匹（KFR-26GW/BpTLP1+1）,奥克斯空调广东万泽专卖店,12998705475,4999.00,2499.00,40,96,40,1,1,外观大气 性价比高,奥克斯（AUX） 奥克斯（AUX）KFR-35GW/BpTLP1+1 12998705475 奥克斯空调广东万泽专卖店 13.5kg 变频 冷暖空调 变频空调 白色 1匹 一级能效 15-20㎡ 壁挂式空调,奥克斯,变频,奥克斯（AUX）KFR-35GW/BpTLP1+1,1匹,京东
格力（GREE） 格力(GREE) 冷静悦变频 静音省电皆出众 壁挂式冷暖空调（白色） KFR-32GW/(32575)FNAa-A3,格力空调北京本源专卖店,11021424157,3799.00,3599.00,10,100,10,0,0,,格力（GREE） 格力（GREE） 格力(GREE) 冷静悦变频 静音省电皆出众 壁挂式冷暖空调（白色） KFR-32GW/(32575)FNAa-A3 11021424157 格力空调北京本源专卖店 16.0kg 变频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,格力,变频,格力（GREE） 格力(GREE) 冷静悦变频 静音省电皆出众 壁挂式冷暖空调（白色） KFR-32GW/(32575)FNAa-A3,1.5匹,京东
海信（Hisense）KFR-26GW/A8Q100N-A1(1N23)大1p匹变频空调 浪漫粉（大1P） 女神系列/一级直流变频挂机,广东驰名电器专营店,16517534748,4499.00,4199.00,0,100,0,0,0,,海信（Hisense） 海信（Hisense）KFR-26GW/A8Q100N-A1(1N23)大1p匹变频空调 浪漫粉（大1P） 女神系列/一级直流变频挂机 16517534748 广东驰名电器专营店 48.5kg 中国大陆 KFR-26GW/A8Q100N-A1(1N23) 变频 0元安装，高能效空调，智能空调，变频空调，静音空调，全直流变频 冷暖空调 1匹 一级能效 10-15㎡ 壁挂式空调,海信,变频,海信（Hisense）KFR-26GW/A8Q100N-A1(1N23)大1p匹变频空调 浪漫粉（大1P） 女神系列/一级直流变频挂机,1匹,京东
格力（GREE） 格力(GREE) 变频  冷暖   空调品悦3级   挂机空调 KFR-35GW/(35592)FNhAa-A3,格力空调北京本源专卖店,10987629510,3599.00,3499.00,10,87,10,0,2,态度好,格力（GREE） 格力（GREE） 格力(GREE) 变频  冷暖   空调品悦3级   挂机空调 KFR-35GW/(35592)FNhAa-A3 10987629510 格力空调北京本源专卖店 42.0kg 中国大陆 变频 冷暖空调 变频空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,格力,变频,格力（GREE） 格力(GREE) 变频  冷暖   空调品悦3级   挂机空调 KFR-35GW/(35592)FNhAa-A3,1匹,京东
美的（Midea） 省电星变频冷暖空调 大1匹/大1.5匹 壁挂式空调 白色 KFR-26GW/BP2DN1Y-DA400(B3,美的空调新疆天鸿顺专营店,13516170734,3499.00,2899.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 省电星变频冷暖空调 大1匹/大1.5匹 壁挂式空调 白色 KFR-26GW/BP2DN1Y-DA400(B3 13516170734 美的空调新疆天鸿顺专营店 40.0kg 变频 冷暖空调 变频空调 白色 1匹 三级能效 20-30㎡ 壁挂式空调,美的,变频,美的（Midea） 省电星变频冷暖空调 大1匹/大1.5匹 壁挂式空调 白色 KFR-26GW/BP2DN1Y-DA400(B3,1匹,京东
美的 （Midea） 省电星 变频 冷暖空调 挂机 壁挂式 DA400 KFR- 26GW/BP2DN1Y-DA400 大1匹,美的空调天津中环专卖店,11267348303,3298.00,2398.00,7,100,7,0,0,,美的 美的 （Midea） 省电星 变频 冷暖空调 挂机 壁挂式 DA400 KFR- 26GW/BP2DN1Y-DA400 大1匹 11267348303 美的空调天津中环专卖店 120.0kg 中国大陆 31022010003990 定频 单冷空调 变频空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,美的,定频,美的 （Midea） 省电星 变频 冷暖空调 挂机 壁挂式 DA400 KFR- 26GW/BP2DN1Y-DA400 大1匹,1.5匹,京东
美的（Midea）大1匹/1.5匹 变频 冷暖 空调挂机  ECO节能 省电星 KFR- 35GW/BP2DN1Y-DA300(B3)E,美的空调广东中诚专卖店,11452207934,3599.00,3299.00,3,100,3,0,0,,美的（Midea） 美的（Midea）大1匹/1.5匹 变频 冷暖 空调挂机  ECO节能 省电星 KFR- 35GW/BP2DN1Y-DA300(B3)E 11452207934 美的空调广东中诚专卖店 13.0kg KFR-26GW/BP2DN1Y-DA300(B3)E 变频 冷暖空调 变频空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,美的,变频,美的（Midea）大1匹/1.5匹 变频 冷暖 空调挂机  ECO节能 省电星 KFR- 35GW/BP2DN1Y-DA300(B3)E,1匹,京东
美的（Midea） 舒适星 大1.5匹直流变频无风感舒适静音节能 家用冷暖壁挂式空调挂机 TA301(B3) 月光白,美的空调博美专卖店,11253266127,6999.00,4099.00,40,100,40,0,0,超静音 态度好,美的（Midea） 美的（Midea） 舒适星 大1.5匹直流变频无风感舒适静音节能 家用冷暖壁挂式空调挂机 TA301(B3) 月光白 11253266127 美的空调博美专卖店 11.0kg 中国大陆 变频 冷暖空调 变频空调 白色 1.5匹 三级能效 20-30㎡ 壁挂式空调,美的,变频,美的（Midea） 舒适星 大1.5匹直流变频无风感舒适静音节能 家用冷暖壁挂式空调挂机 TA301(B3) 月光白,1.5匹,京东
美的（Midea） 大1匹/大1.5匹 全直流变频空调 冷暖 二级能效 舒适星 冰莹粉 大1.5匹  35GW/BP3DN1Y-TA201,美的空调河北晖腾专卖店,13376642644,5399.00,3799.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 大1匹/大1.5匹 全直流变频空调 冷暖 二级能效 舒适星 冰莹粉 大1.5匹  35GW/BP3DN1Y-TA201 13376642644 美的空调河北晖腾专卖店 15.0kg 中国大陆 变频 冷暖空调 其他 1匹 二级能效 15-20㎡ 壁挂式空调,美的,变频,美的（Midea） 大1匹/大1.5匹 全直流变频空调 冷暖 二级能效 舒适星 冰莹粉 大1.5匹  35GW/BP3DN1Y-TA201,1匹,京东
美的（Midea） 美的(Midea)大1匹/大1.5匹 全直流变频 舒适星 挂机 KFR-35GW/BP3DN1Y-TA200(B2,美的空调山西华明专卖店,15355071156,5098.00,4598.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 美的(Midea)大1匹/大1.5匹 全直流变频 舒适星 挂机 KFR-35GW/BP3DN1Y-TA200(B2 15355071156 美的空调山西华明专卖店 29.0kg 变频 冷暖空调 变频空调，静音空调，全直流变频，自动清洁 其他 1.5匹 二级能效 20-30㎡ 壁挂式空调,美的,变频,美的（Midea） 美的(Midea)大1匹/大1.5匹 全直流变频 舒适星 挂机 KFR-35GW/BP3DN1Y-TA200(B2,1.5匹,京东
格力(GREE) 俊越变频 新升级带WIFI 壁挂式冷暖空调（空调颜色为清爽白） KFR-32GW/(32559)FNAa-A3,格力空调北京本源专卖店,11125583613,3650.00,3450.00,3,100,3,0,0,外观大气 特别快,格力（GREE） 格力(GREE) 俊越变频 新升级带WIFI 壁挂式冷暖空调（空调颜色为清爽白） KFR-32GW/(32559)FNAa-A3 11125583613 格力空调北京本源专卖店 13.0kg 变频 冷暖空调 静音空调 其他 小1.5匹 三级能效 15-20㎡ 壁挂式空调,格力,变频,格力(GREE) 俊越变频 新升级带WIFI 壁挂式冷暖空调（空调颜色为清爽白） KFR-32GW/(32559)FNAa-A3,小1.5匹,京东
虹立（HNEYREA）正1匹/P壁挂式空调白色单冷 静音空调和正1.5匹/P  型号有区分 1匹KF-25GW/CHOB,虹立旗舰店,15652050342,2199.00,1799.00,0,100,0,0,0,,虹立（HNEYREA） 虹立（HNEYREA）正1匹/P壁挂式空调白色单冷 静音空调和正1.5匹/P  型号有区分 1匹KF-25GW/CHOB 15652050342 虹立旗舰店 39.5kg 中国大陆 定频 单冷空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,虹立,定频,虹立（HNEYREA）正1匹/P壁挂式空调白色单冷 静音空调和正1.5匹/P  型号有区分 1匹KF-25GW/CHOB,1匹,京东
inyan 迎燕 KFRd-26GW/BN+3大1匹壁挂式家用冷暖定速空调纯铜管 白色,阁力机电专营店,12279861493,1999.00,1699.00,8,74,6,1,1,下次光顾,inyan inyan 迎燕 KFRd-26GW/BN+3大1匹壁挂式家用冷暖定速空调纯铜管 白色 12279861493 阁力机电专营店 8.5kg 定频 冷暖空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,迎燕,定频,inyan 迎燕 KFRd-26GW/BN+3大1匹壁挂式家用冷暖定速空调纯铜管 白色,1匹,京东
空调 壁挂式定频大1匹 家用单冷静音空调 大1匹单冷（含支架）,奥曼电器专营店,11488884486,2399.00,1890.00,0,100,0,0,0,,金立 空调 壁挂式定频大1匹 家用单冷静音空调 大1匹单冷（含支架） 11488884486 奥曼电器专营店 4.0kg KFRD-50GW/YHMK 定频 单冷空调 白色 小1.5匹 三级能效 15-20㎡ 壁挂式空调,金立,定频,空调 壁挂式定频大1匹 家用单冷静音空调 大1匹单冷（含支架）,小1.5匹,京东
立冰1.5匹二级能效空调 白色 2级能效,立冰省电空调官方旗舰店,17210047506,3899.00,3899.00,0,100,0,0,0,,立冰省电空调（Libing） 立冰1.5匹二级能效空调 白色 2级能效 17210047506 立冰省电空调官方旗舰店 51.0kg 中国大陆 变频 冷暖空调 白色 1.5匹 二级能效 10-15㎡ 壁挂式空调,立冰省电空调,变频,立冰1.5匹二级能效空调 白色 2级能效,1.5匹,京东
JENSANY 【顺丰配送】金三洋（）定频壁挂式冷暖家用空调挂机节能 静音 新款大1.5匹冷暖,淘好电器专营店,19943986982,2500.00,1877.00,0,100,0,0,0,,JENSANY JENSANY 【顺丰配送】金三洋（）定频壁挂式冷暖家用空调挂机节能 静音 新款大1.5匹冷暖 19943986982 淘好电器专营店 9.5kg 中国大陆 定频 智能空调，静音空调，自动清洁 冷暖空调 1.5匹 三级能效 20-30㎡ 壁挂式空调,金三洋,定频,JENSANY 【顺丰配送】金三洋（）定频壁挂式冷暖家用空调挂机节能 静音 新款大1.5匹冷暖,1.5匹,京东
赛亿（Shinee） 遥控冷暖冷风扇 空调扇 电风扇 取暖器电暖器 电暖气,韩恩奢侈品专营店,20046031306,999.00,699.00,0,100,0,0,0,,赛亿（Shinee） 赛亿（Shinee） 遥控冷暖冷风扇 空调扇 电风扇 取暖器电暖器 电暖气 20046031306 韩恩奢侈品专营店 8.0kg 中国大陆 LNG-04ER 变频 圆柱式空调 冷暖空调 1.5匹 三级能效 30-40㎡ 壁挂式空调,赛亿,变频,赛亿（Shinee） 遥控冷暖冷风扇 空调扇 电风扇 取暖器电暖器 电暖气,1.5匹,京东
凉师傅（liangshifu） 夏季遥控冷暖冷风扇/空调扇/电风扇/取暖器 白色,韩恩奢侈品专营店,20045997377,888.00,599.00,0,100,0,0,0,,凉师傅（liangshifu） 凉师傅（liangshifu） 夏季遥控冷暖冷风扇/空调扇/电风扇/取暖器 白色 20045997377 韩恩奢侈品专营店 7.0kg 变频 圆柱式空调 冷暖空调 小1匹 三级能效 15-20㎡ 壁挂式空调,凉师傅,变频,凉师傅（liangshifu） 夏季遥控冷暖冷风扇/空调扇/电风扇/取暖器 白色,小1匹,京东
艾尔斯派（AIRSPA）酒窖空调 GRD35DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调,艾尔斯派旗舰店,10388204763,43260.00,43260.00,0,100,0,0,0,,艾尔斯派（AIRSPA） 艾尔斯派（AIRSPA）酒窖空调 GRD35DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调  10388204763 艾尔斯派旗舰店 93.0kg GRD35DW/SYJ2 定频 冷暖空调 其他 三级能效 10-15㎡ 壁挂式空调,艾尔斯派,定频,艾尔斯派（AIRSPA）酒窖空调 GRD35DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调,小1.5匹,京东
艾尔斯派（AIRSPA）酒窖空调 GRD50DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调,艾尔斯派旗舰店,10389743236,48560.00,48560.00,0,100,0,0,0,,艾尔斯派（AIRSPA） 艾尔斯派（AIRSPA）酒窖空调 GRD50DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调 10389743236 艾尔斯派旗舰店 110.0kg 定频 冷暖空调 白色 三级能效 20-30㎡ 壁挂式空调,艾尔斯派,定频,艾尔斯派（AIRSPA）酒窖空调 GRD50DW/SYJ2 恒温恒湿恒氧恒净酒窖专用空调,2匹,京东
方米(FZM) 正1P匹 分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹冷暖KFRD-25GW/GB3FM2,FZM旗舰店,15152453991,2209.00,1578.00,3,67,2,0,1,,FZM 方米(FZM) 正1P匹 分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹冷暖KFRD-25GW/GB3FM2 15152453991 FZM旗舰店 34.0kg 中国大陆 定频 冷暖空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,方米,定频,方米(FZM) 正1P匹 分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹冷暖KFRD-25GW/GB3FM2,1匹,京东
FZM 方米正1P匹 单冷分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹单冷KF-25GW/FM2,FZM旗舰店,19480678032,2299.00,1468.00,0,100,0,0,0,,FZM FZM 方米正1P匹 单冷分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹单冷KF-25GW/FM2 19480678032 FZM旗舰店 30.0kg 定频 静音空调 单冷空调 1匹 三级能效 10-15㎡ 壁挂式空调,方米,定频,FZM 方米正1P匹 单冷分体式空调壁挂机式家用定频静音空调（纯铜管） 乐享款 正1匹单冷KF-25GW/FM2,1匹,京东
FZM 方米正1.5匹单冷/冷暖  定频 壁挂式机 家用 静音空调（纯铜管） 智享款 正1.5匹冷暖KFRD-35GW/BG3FM1,FZM旗舰店,18447945038,2099.00,1829.00,0,100,0,0,0,,FZM FZM 方米正1.5匹单冷/冷暖  定频 壁挂式机 家用 静音空调（纯铜管） 智享款 正1.5匹冷暖KFRD-35GW/BG3FM1 18447945038 FZM旗舰店 35.0kg 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,方米,定频,FZM 方米正1.5匹单冷/冷暖  定频 壁挂式机 家用 静音空调（纯铜管） 智享款 正1.5匹冷暖KFRD-35GW/BG3FM1,1.5匹,京东
中松 (pansamio)空调挂机定频壁挂式空调挂机 1匹单冷KF-25GW/SXA-3不包基础安装,中松空调旗舰店,18969053627,2999.00,1269.00,0,100,0,0,0,,中松 中松 (pansamio)空调挂机定频壁挂式空调挂机 1匹单冷KF-25GW/SXA-3不包基础安装 18969053627 中松空调旗舰店 8.0kg 中国大陆 KF-25GW/SXA-3 定频 单冷空调 静音空调，自动清洁 白色 1匹 三级能效 10-15㎡ 壁挂式空调,中松,定频,中松 (pansamio)空调挂机定频壁挂式空调挂机 1匹单冷KF-25GW/SXA-3不包基础安装,1匹,京东
中松 (pansamio)正1匹单冷空调正1.5匹冷暖定频挂壁式空调挂机 KFRD-35GW/SXA-3包基础安装,中松空调旗舰店,15466957639,2899.00,1638.00,10,90,9,0,1,,中松 中松 (pansamio)正1匹单冷空调正1.5匹冷暖定频挂壁式空调挂机 KFRD-35GW/SXA-3包基础安装 15466957639 中松空调旗舰店 10.0kg 中国大陆 KFRD-35GW/SXA-3 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,中松,定频,中松 (pansamio)正1匹单冷空调正1.5匹冷暖定频挂壁式空调挂机 KFRD-35GW/SXA-3包基础安装,1.5匹,京东
东洋（TOYO）大1.5匹冷暖定速空调挂机KFRD-35W/TY03-3 正1匹单冷-A款KF-25GW/TY03-3,安然专营店,16628924425,2999.00,1438.00,40,92,40,2,2,下次光顾,东洋（TOYO） 东洋（TOYO）大1.5匹冷暖定速空调挂机KFRD-35W/TY03-3 正1匹单冷-A款KF-25GW/TY03-3 16628924425 安然专营店 10.0kg 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 30-40㎡ 壁挂式空调,东洋,定频,东洋（TOYO）大1.5匹冷暖定速空调挂机KFRD-35W/TY03-3 正1匹单冷-A款KF-25GW/TY03-3,1.5匹,京东
金杨子 定频 家用 时尚印花 壁挂式空调挂机 1匹冷暖空调KFRd-25GW/YZA包基础安装,金杨子旗舰店,12068046011,1999.00,1559.00,40,85,30,0,6,,金杨子 金杨子KFRd-25GW/YZA 12068046011 金杨子旗舰店 11.0kg 中国大陆 KFRd-25GW/YZA 定频 冷暖空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,金杨子,定频,金杨子KFRd-25GW/YZA,1匹,京东
金杨子 定频家用1匹1.5匹壁挂式空调挂机定速 KFRd-35GW/YZA冷静王包基础安装,金杨子旗舰店,13110918975,2099.00,1648.00,60,89,60,1,7,经济实用,金杨子 金杨子 定频家用1匹1.5匹壁挂式空调挂机定速 KFRd-35GW/YZA冷静王包基础安装 13110918975 金杨子旗舰店 12.0kg 中国大陆 KFRd-35GW/YZA(冷静王) 定频 冷暖空调 静音空调 白色有花纹 1.5匹 三级能效 15-20㎡ 壁挂式空调,金杨子,定频,金杨子 定频家用1匹1.5匹壁挂式空调挂机定速 KFRd-35GW/YZA冷静王包基础安装,1.5匹,京东
金杨子 定频 家用 静音 壁挂式空调挂机 1匹冷暖KFRd-25GW/YZA-1包基础安装,金杨子旗舰店,19213178174,4599.00,1459.00,1,100,1,0,0,,金杨子 金杨子 定频 家用 静音 壁挂式空调挂机 1匹冷暖KFRd-25GW/YZA-1包基础安装 19213178174 金杨子旗舰店 11.0kg 中国大陆 KF-25GW/YZA-1 定频 冷暖空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,金杨子,定频,金杨子 定频 家用 静音 壁挂式空调挂机 1匹冷暖KFRd-25GW/YZA-1包基础安装,1匹,京东
金杨子 正1.5匹 定频 冷暖 空调挂机 家用 KFRd-35GW/YZB 包基础安装款,金杨子旗舰店,12064259787,2099.00,1758.00,10,100,10,0,0,,金杨子 金杨子 正1.5匹 定频 冷暖 空调挂机 家用 KFRd-35GW/YZB 包基础安装款 12064259787 金杨子旗舰店 13.0kg 中国大陆  KFRd-35GW/YZB 定频 冷暖空调 其他 1.5匹 三级能效 15-20㎡ 壁挂式空调,金杨子,定频,金杨子 正1.5匹 定频 冷暖 空调挂机 家用 KFRd-35GW/YZB 包基础安装款,1.5匹,京东
帝智（DIZHI）正1匹 定频 冷暖时尚印花壁挂式空调挂机KFRd-25GW/C7-1DZ,帝智旗舰店,18561854125,1799.00,1399.00,1,100,1,0,0,,帝智（DIZHI） 帝智（DIZHI）正1匹 定频 冷暖时尚印花壁挂式空调挂机KFRd-25GW/C7-1DZ 18561854125 帝智旗舰店 42.5kg 中国大陆 KFRd-25GW/C7-1DZ 定频 冷暖空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,帝智,定频,帝智（DIZHI）正1匹 定频 冷暖时尚印花壁挂式空调挂机KFRd-25GW/C7-1DZ,1匹,京东
帝智（DIZHI）大1.5匹定频 单冷 大风量壁挂式空调挂机KF-35GW/A7-2DZ,帝智旗舰店,18562192769,1899.00,1499.00,0,100,0,0,0,,帝智（DIZHI） 帝智（DIZHI）大1.5匹定频 单冷 大风量壁挂式空调挂机KF-35GW/A7-2DZ 18562192769 帝智旗舰店 55.0kg 中国大陆 KF-35GW/A7-2DZ 定频 单冷空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,帝智,定频,帝智（DIZHI）大1.5匹定频 单冷 大风量壁挂式空调挂机KF-35GW/A7-2DZ,1.5匹,京东
帝智（DIZHI）大1.5匹定频 冷暖 壁挂式空调挂机KFRd-35GW/A7-2DZ,帝智旗舰店,18562358756,1999.00,1599.00,3,100,3,0,0,,帝智（DIZHI） 帝智（DIZHI）大1.5匹定频 冷暖 壁挂式空调挂机KFRd-35GW/A7-2DZ 18562358756 帝智旗舰店 55.0kg 中国大陆 KFRd-35GW/A7-2DZ 定频 冷暖空调 静音空调 白色 1.5匹 三级能效 15-20㎡ 壁挂式空调,帝智,定频,帝智（DIZHI）大1.5匹定频 冷暖 壁挂式空调挂机KFRd-35GW/A7-2DZ,1.5匹,京东
帝智（DIZHI）正1匹定频 单冷 静音速冷 壁挂式空调挂机KF-25GW/C7-1DZ,帝智旗舰店,18561500521,1699.00,1299.00,5,100,5,0,0,,帝智（DIZHI） 帝智（DIZHI）正1匹定频 单冷 静音速冷 壁挂式空调挂机KF-25GW/C7-1DZ 18561500521 帝智旗舰店 31.0kg 中国大陆 KF-25GW/C7-1DZ 定频 单冷空调 静音空调 白色 1匹 三级能效 10-15㎡ 壁挂式空调,帝智,定频,帝智（DIZHI）正1匹定频 单冷 静音速冷 壁挂式空调挂机KF-25GW/C7-1DZ,1匹,京东
松下 （Panasonic）大1匹 2级能效定频冷暖家用壁挂式空调挂机SA10KH2-1,松下电器专卖店,10185966890,3388.00,2628.00,100,93,100,4,9,特别快 态度好 经济实用 外观大气 下次光顾,松下 松下 （Panasonic）大1匹 2级能效定频冷暖家用壁挂式空调挂机SA10KH2-1 10185966890 松下电器专卖店 45.0kg A10KJ2 定频 冷暖空调 白色 1匹 二级能效 10-15㎡ 壁挂式空调,松下,定频,松下 （Panasonic）大1匹 2级能效定频冷暖家用壁挂式空调挂机SA10KH2-1,1匹,京东
松下（Panasonic） 大1.5匹定频单冷壁挂式空调挂机C13KJ2,松下空调专卖店,10467089119,3999.00,2848.00,70,95,70,0,4,外观大气 品质有保障 下次光顾 特别快 态度好 客服服务热情 快递给力,松下（Panasonic） 松下（Panasonic）C13KJ2 10467089119 松下空调专卖店 10.0kg 定频 单冷空调 静音空调，合资空调 白色 1.5匹 二级能效 15-20㎡ 壁挂式空调,松下,定频,松下（Panasonic）C13KJ2,1.5匹,京东
松下（Panasonic） 松下SA10KH2-1大1匹二级能效壁挂式家用冷暖空调挂机 珍珠白色 大1匹,松下空调启沃专卖店,11565530594,3198.00,2648.00,50,88,40,2,4,,松下（Panasonic） 松下（Panasonic） 松下SA10KH2-1大1匹二级能效壁挂式家用冷暖空调挂机 珍珠白色 大1匹 11565530594 松下空调启沃专卖店 40.0kg 中国大陆 SA10KH2-1  定频 冷暖空调 白色 1匹 二级能效 10-15㎡ 壁挂式空调,松下,定频,松下（Panasonic） 松下SA10KH2-1大1匹二级能效壁挂式家用冷暖空调挂机 珍珠白色 大1匹,1匹,京东
松下 （Panasonic）AE9KK1 大1匹 一级能效 变频冷暖 壁挂式空调挂机家用,松下电器专卖店,10477724337,6998.00,5698.00,3,67,2,1,0,特别快,松下 松下 （Panasonic）AE9KK1 大1匹 一级能效 变频冷暖 壁挂式空调挂机家用 10477724337 松下电器专卖店 50.0kg 中国大陆 变频 冷暖空调 白色 1匹 一级能效 10-15㎡ 壁挂式空调,松下,变频,松下 （Panasonic）AE9KK1 大1匹 一级能效 变频冷暖 壁挂式空调挂机家用,1匹,京东
松下（Panasonic） 新款无级正弦波变频冷暖壁挂式空调挂机 大1.5匹 KFR-36GW/BpSKGL1,松下空调专卖店,12318775429,7998.00,4378.00,10,100,10,0,0,外观大气 特别快 态度好,松下（Panasonic） 松下（Panasonic） 新款无级正弦波变频冷暖壁挂式空调挂机 大1.5匹 KFR-36GW/BpSKGL1 12318775429 松下空调专卖店 11.5kg 变频 冷暖空调 其他 1匹 三级能效 10-15㎡ 壁挂式空调,松下,变频,松下（Panasonic） 新款无级正弦波变频冷暖壁挂式空调挂机 大1.5匹 KFR-36GW/BpSKGL1,1匹,京东
松下（panasonic） 怡爵 变频冷暖壁挂式空调挂机日本原装进口 一级能效 白色 空调大1匹 VE9KK1,松下金龙专卖店,11253173984,27000.00,18087.00,0,100,0,0,0,,松下（panasonic） 松下（panasonic） 怡爵 变频冷暖壁挂式空调挂机日本原装进口 一级能效 白色 空调大1匹 VE9KK1 11253173984 松下金龙专卖店 14.0kg 日本 VE9KK1 变频 冷暖空调 高能效空调 白色 1匹 一级能效 10-15㎡ 壁挂式空调,松下,变频,松下（panasonic） 怡爵 变频冷暖壁挂式空调挂机日本原装进口 一级能效 白色 空调大1匹 VE9KK1,1匹,京东
松下（Panasonic） 全直流变频 1级能效 怡臻旗舰系列 壁挂式冷暖空调 白色 大1匹 XE9KK1,松下三景专卖店,16338092070,9698.00,6448.00,0,100,0,0,0,,松下（Panasonic） 松下（Panasonic） 全直流变频 1级能效 怡臻旗舰系列 壁挂式冷暖空调 白色 大1匹 XE9KK1 16338092070 松下三景专卖店 12.0kg 变频 冷暖空调 智能空调，变频空调，静音空调，合资空调，全直流变频 白色 1匹 一级能效 10-15㎡ 壁挂式空调,松下,变频,松下（Panasonic） 全直流变频 1级能效 怡臻旗舰系列 壁挂式冷暖空调 白色 大1匹 XE9KK1,1匹,京东
