评论数,差评,售价,标价,型号,商品ID,品牌,商品名称,关键字,好评,中评,好评率,商铺名称
2800,50,109,389,"先科（SAST）电风扇壁扇壁挂风扇吊扇静音家用宿舍电扇 遥控/机械 16寸 302-R 遥控款,10285311769, ,2.9kg,308/308-R,2-8小时,三档调节,正常风,5片,2级,遥控式,壁扇",10285311769,先科（SAST）,先科（SAST）电风扇壁扇壁挂风扇吊扇静音家用宿舍电扇 遥控/机械 16寸 302-R 遥控款,遥控方便 使用方便 远程遥控 质量不错 风很柔和 风扇不错 风力很大 安装方便 噪音很小 造型美观,2700,60,96,先科SAST专卖店
29000,1000,59,99,"华生KYT25-1102,608054,1.56kg,广东,2小时以下,三档调节,正常风,6片,2级,机械式,转页扇，台扇",608054,华生（Wahson）,华生（Wahson）KYT25-1102 电风扇/台式转页扇（蓝色）/风扇,还可以吧 使用方便 风扇不错 质量不错 风力很大 风很柔和 颜色漂亮 造型美观 噪音很小 安全节能 简单大方 风很柔和 造型美观 颜色漂亮 睡眠送风 使用方便,26000,2100,89,华生旗舰店
400,4,599,2299,"爱家乐AX100电风扇落地无叶风扇家用空气循环扇台式风扇 蓝色,10564821238, ,3.5kg,中国大陆,2小时以下,无极变速,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，台扇，空气循环扇",10564821238,爱家乐（AKIRA）,爱家乐AX100电风扇落地无叶风扇家用空气循环扇台式风扇 蓝色,质量不错 风扇不错 风力很大 使用方便 颜色漂亮 造型美观 适合宝宝 底座很稳 安全节能 扇网坚固 噪音很小 颜色漂亮 电机好 风扇不错 噪音较大 风很柔和 风扇不错 适合宝宝,400,8,97,爱家乐生活电器专卖店
3100,40,119,299,"华生FB40-1205Y,1370376,3.16kg,广东,2-8小时,三档调节,正常风,3片,2级,遥控式,壁扇",1370376,华生（Wahson）,华生（Wahson）FB40-1205Y 电风扇/遥控壁扇/风扇,安装方便 遥控方便 风力很大 使用方便 风扇不错 质量不错 噪音很小 远程遥控 风很柔和 广角送风,2900,100,96,华生旗舰店
100,3,599,1299,"欧麦斯Air-H5 无叶风扇 落地式风扇 家用电扇  空气循环扇 电风扇塔扇 无扇叶台扇 月光白,11635526041, ,4.0kg,2小时以下,无极变速,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，塔扇，台扇，空气循环扇",11635526041,欧麦斯（OUMAISI）,欧麦斯Air-H5 无叶风扇 落地式风扇 家用电扇  空气循环扇 电风扇塔扇 无扇叶台扇 月光白,风力很大 噪音很小 安全节能 风很柔和 广角送风 电机好 适合宝宝 远程遥控 底座很稳 造型美观,100,0,98,欧麦斯旗舰店
8100,100,59,89,"HYUNDAIKYT25-A1,2417500,1.6kg,中国大陆,2小时以下,三档调节,正常风,5片,2级,机械式,转页扇，台扇",2417500,HYUNDAI,HYUNDAI 现代电风扇/台式转页扇/换气扇KYT25-A1,使用方便 风扇不错 质量不错 风力很大 造型美观 风很柔和 安全节能 颜色漂亮 噪音很小 安装方便 风扇不错 风力很大 质量不错 噪音很小 造型美观 广角送风 颜色漂亮 风力很大,7600,300,94,韩国现代（HYUNDAI)两季品旗舰店
100,7,239,599,"艾美特（Airmate）电风扇FSW64R-5 家用遥控落地扇大风力风扇 黑色,12186749414, ,7.0kg,中国大陆,FSW64R-5,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",12186749414,艾美特,艾美特（Airmate）电风扇FSW64R-5 家用遥控落地扇大风力风扇 黑色,底座很稳 使用方便 颜色漂亮 风力很大 风扇不错 远程遥控 风很柔和 扇网坚固 遥控方便 造型美观,100,5,93,艾美特专卖店
1000,30,359,499,"澳柯玛FS-08M605(Y),2539182,5.4kg,中国青岛,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",2539182,澳柯玛（AUCMA）,澳柯玛（AUCMA）FS-08M605(Y) 90度旋转遥控定时塔扇/电风扇,造型美观 风扇不错 噪音很小 质量不错 遥控方便 使用方便 风很柔和 安装方便 远程遥控 广角送风 遥控方便 适合宝宝,900,30,93,澳柯玛两季品旗舰店
200,5,369,799,"格力（GREE)电风扇 直流变频 遥控 落地扇 7风叶 FDZ-40X65Bg7 淡蓝色,11704349111, ,8.4kg,中国大陆,FDZ-40X65Bg7,8小时以上,四档调节,正常风、自然风、睡眠风,7片及以上,无,遥控式,落地扇",11704349111,格力（GREE）,格力（GREE)电风扇 直流变频 遥控 落地扇 7风叶 FDZ-40X65Bg7 淡蓝色,质量不错 风很柔和 遥控方便 远程遥控 安装方便 使用方便 颜色漂亮 底座很稳 造型美观 噪音很小,200,2,97,格力傲信专卖店
50,0,999,2099,"艾美特FS4081SR,5101708,10.45kg,中国,8小时以上,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",5101708,艾美特（AIRMATE）,艾美特(Airmate) FS4081SR 七叶遥控智能语音控制落地扇/电风扇/风扇,风力很大 噪音很小 使用方便 造型美观 颜色漂亮 电机好 安装方便 广角送风 风很柔和 底座很稳 适合宝宝 风很柔和 造型美观 噪音很小 使用方便 广角送风 风很柔和 造型美观 底座很稳 风很柔和 扇网坚固 颜色漂亮 造型美观 风力很大,40,2,96,艾美特生活电器旗舰店
100,6,329,699,"北欧欧慕NFS04R,5008878,3.9kg,广东佛山,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",5008878,北欧欧慕（nathome）,北欧欧慕（nathome）遥控塔扇静音电风扇 NFS04R 银灰色,底座很稳 造型美观 扇网坚固 质量不错 遥控方便 风很柔和 使用方便 噪音很小 安装方便 安全节能 使用方便 风扇不错 质量不错 扇网坚固 底座很稳 颜色漂亮 安全节能 质量不错 造型美观 底座很稳,100,6,92,北欧欧慕厨电旗舰店
2300,10,99,599,"扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 机械款,11731136370, ,6.0kg,中国大陆,808,2-8小时,四档调节,正常风、自然风、睡眠风,5片,4级,遥控式,落地扇",11731136370,扬子,扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 机械款,噪音很小 风力很大 颜色漂亮 电机好 造型美观 底座很稳 安全节能 广角送风 安装方便 质量不错,2200,10,98,立尚专营店
1100,30,399,1099,"艾美特FTA57R-WJ,1540374,8.18kg,深圳,2-8小时,三档调节,正常风,塔扇,无叶",1540374,艾美特（AIRMATE）,艾美特(Airmate) FTA57R-WJ 智能塔扇/电风扇 京东微联APP控制,使用方便 遥控方便 质量不错 风扇不错 风力很大 造型美观 风很柔和 底座很稳 远程遥控 安全节能 造型美观 风扇不错 睡眠风不错 安装方便 电机好 风力很大 广角送风 风扇不错 质量不错 遥控方便 远程遥控,1000,40,93,艾美特生活电器旗舰店
30,0,1199,2099,"艾美特FS40101R,4533792,11.08kg,中国,8小时以上,无极变速,正常风、自然风、睡眠风,7片及以上,无,遥控式,落地扇",4533792,艾美特（AIRMATE）,艾美特(Airmate) FS40101R 七叶遥控直流变频落地扇/电风扇,风扇不错 睡眠风不错 使用方便 噪音很小 质量不错 颜色漂亮 造型美观 适合宝宝 风很柔和 电机好 睡眠风不错 使用方便 噪音很小 质量不错 质量不错 安全节能 风扇不错,30,4,89,艾美特生活电器旗舰店
1300,20,55,99,"卡帝亚KYT-25A1,4761364,1.6kg,浙江宁波,2小时以下,三档调节,正常风,6片,3级,机械式,转页扇，台扇",4761364,卡帝亚（KADEER）,卡帝亚（ Kadeer） KYT-25A1台式转页扇/电风扇,使用方便 风扇不错 风很柔和 颜色漂亮 质量不错 造型美观 噪音很小 风力很大 安全节能 适合宝宝,1300,20,96,卡帝亚两季品旗舰店
400,7,199,399,"海尔FSY4071B,4077201,7.5kg,中国大陆,8小时以上,五档以上,正常风,5片,3级,遥控式,落地扇",4077201,海尔（Haier）,海尔（Haier）FSY4071B 五叶遥控可定时方管电风扇/落地扇,质量不错 风很柔和 安全节能 使用方便 风扇不错 造型美观 安装方便 遥控方便 风力很大 电机好 底座很稳 安全节能 噪音很小 使用方便 远程遥控 质量不错 扇网坚固 造型美观 广角送风 风扇不错 睡眠风不错 风很柔和 远程遥控 遥控方便 造型美观 很不错,400,8,96,海尔两季品旗舰店
500,2,89,189,"华生FB30-B401,4575056,2.59kg,广东,无定时,三档调节,正常风,5片,3级,机械式,壁扇",4575056,华生（Wahson）,华生（Wahson）FB30-B401 电风扇/机械壁扇/风扇,安装方便 风扇不错 风力很大 使用方便 风很柔和 质量不错 噪音很小 颜色漂亮 广角送风 电机好 风扇不错 广角送风 扇网坚固 风力很大 使用方便,500,10,98,华生旗舰店
100,2,799,819,"美的FS40-17CR,3871795,9.2kg,中国大陆,8小时以上,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",3871795,美的（Midea）,美的（Midea）FS40-17CR 九叶变频遥控落地扇/电风扇,风很柔和 底座很稳 遥控方便 噪音很小 造型美观 质量不错 安全节能 使用方便 远程遥控 风扇不错 风力很大 适合宝宝 遥控方便 安全节能 风很柔和 底座很稳 睡眠风不错 适合宝宝 噪音很小 扇网坚固 质量不错 使用方便 底座很稳 风很柔和 电机好,90,3,95,美的两季品旗舰店
80,2,2799,4999,"Dyson戴森 无叶风扇  电风扇  静音安全无叶风扇 落地 柔和自然风 AM08 dyson无叶风扇  银白色,1982076396, ,6.0kg,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",1982076396,None,Dyson戴森 无叶风扇  电风扇  静音安全无叶风扇 落地 柔和自然风 AM08 dyson无叶风扇  银白色,使用方便 造型美观 质量不错 噪音很小 安全节能 底座很稳 安装方便 风扇不错 风力很大 风很柔和 风扇不错,80,1,97,富瑞康全球购专营店
700,10,149,189,"格力电风扇落地扇家用FD-4012-WG宿舍办公电扇定时静音学生落地风扇,11301837456, ,9.0kg,中国大陆,FD-4012-WG,2小时以下,三档调节,正常风,3片,1级,机械式,落地扇",11301837456,格力（GREE）,格力电风扇落地扇家用FD-4012-WG宿舍办公电扇定时静音学生落地风扇,使用方便 安全节能 颜色漂亮 风力很大 噪音很小 扇网坚固 风很柔和 造型美观 底座很稳 睡眠风不错,700,10,96,格力清力专卖店
400,5,258,318,"格力（GREE）KYS-3001B-WG遥控电风扇家用静音五叶落地扇学生宿舍转叶扇,11778321390, ,4.31kg,中国大陆,KYS-3001B-WG,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",11778321390,格力（GREE）,格力（GREE）KYS-3001B-WG遥控电风扇家用静音五叶落地扇学生宿舍转叶扇,颜色漂亮 质量不错 造型美观 遥控方便 风很柔和 底座很稳 安全节能 远程遥控 电机好 风扇不错 使用方便 噪音很小 安装方便 风扇不错 安装方便 风扇不错,400,10,97,格力清力专卖店
300,40,79,299,"碧利沙电风扇落地扇家用静音机械台式风扇宿舍学生工业电扇大风力 机械升级款,12314250095, ,6.0kg,中国大陆,FSLU,2小时以下,三档调节,正常风,4片,无,机械式,落地扇",12314250095,碧利沙（BILISHA）,碧利沙电风扇落地扇家用静音机械台式风扇宿舍学生工业电扇大风力 机械升级款,安装方便 风扇不错 风力很大 使用方便 电机好 造型美观 安全节能 遥控方便 适合宝宝 底座很稳,300,20,82,卓润专营店
2800,20,129,599,"TCLFW-40-CT1602,1058058,3.82kg,中国大陆,三档调节,正常风,4片,1级,机械式,壁扇",1058058,TCL,TCL FW-40-CT1602 电风扇/四扇叶壁扇,风扇不错 风力很大 质量不错 安装方便 噪音很小 使用方便 造型美观 风很柔和 安全节能 电机好 噪音很小 质量不错 广角送风,2700,50,97,TCL电风扇旗舰店
3700,30,149,369,"奥克斯FW-40-C1601RC,1058013,3.88kg,中国大陆,2-8小时,三档调节,正常风,4片,1级,遥控式,壁扇",1058013,奥克斯（AUX）,奥克斯（AUX）FW-40-C1601RC 电风扇/四扇叶遥控壁扇,遥控方便 安装方便 风扇不错 使用方便 质量不错 风力很大 噪音很小 远程遥控 安全节能 造型美观 遥控方便,3600,80,97,奥克斯电风扇旗舰店
6600,100,149,258,"华生KYT30-1201SY,608060,3.2kg,广东,2-8小时,三档调节,正常风、自然风、睡眠风,5片,2级,遥控式,落地扇，转页扇",608060,华生（Wahson）,华生（Wahson）KYT30-1201SY 电风扇/遥控升降转页扇/风扇,还可以吧 遥控方便 安装方便 远程遥控 声音小 风扇不错 使用方便 质量不错 风很柔和 风力很大,5700,600,88,华生旗舰店
3400,50,98,599,"扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 （五叶）机械款,11394819237, ,6.0kg,中国大陆,808,2-8小时,四档调节,正常风、自然风、睡眠风,5片,3级,遥控式,落地扇",11394819237,扬子,扬子（YANGZI)FS-40-808 电风扇落地扇五叶家用电扇 （五叶）机械款,安装方便 颜色漂亮 使用方便 风力很大 风扇不错 造型美观 质量不错 广角送风 噪音很小 底座很稳 使用方便 质量不错 风很柔和 安全节能 安装方便 风很柔和 风力很大 睡眠风不错 颜色漂亮 底座很稳 颜色漂亮 使用方便 噪音很小 睡眠风不错 底座很稳,3300,50,97,富士宝电器专营店
28000,400,39.8,71,"ZOLEE中联FG10-42小吊扇 床上风扇 家用 床上蚊帐扇 静音宿舍电风扇 微风吊扇 单品,11712189720, ,350.00g,中国大陆,FG10-42,无定时,二档调节,正常风、自然风,5片,无,机械式,吊扇",11712189720,中联（ZOLEE）,ZOLEE中联FG10-42小吊扇 床上风扇 家用 床上蚊帐扇 静音宿舍电风扇 微风吊扇 单品,噪音很小 安装方便 风很柔和 质量不错 使用方便 风扇不错 风力很大 造型美观 睡眠风不错 颜色漂亮,27000,700,95,中联生活电器旗舰店
50,0,899,1099,"格力（GREE）电风扇/雾化加湿风扇/遥控落地扇/家用喷雾扇 WKY-30X60Bh5 白浅蓝,12480321642, ,8.5kg,WKY-30X60Bh5,2-8小时,四档调节,正常风、自然风、睡眠风,5片,无,遥控式,落地扇，转页扇，台扇，空气循环扇",12480321642,格力（GREE）,格力（GREE）电风扇/雾化加湿风扇/遥控落地扇/家用喷雾扇 WKY-30X60Bh5 白浅蓝,使用方便 风扇不错 造型美观 遥控方便 噪音很小 颜色漂亮 适合宝宝 安装方便 噪音很小 风扇不错 颜色漂亮 适合宝宝 造型美观 造型美观 遥控方便,40,2,96,格力TOSOT旗舰店
200,7,79,169,"日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,12880202279, ,8.9kg,中国大陆,2小时以下,三档调节,正常风,5片,1级,机械式,落地扇",12880202279,日彩（ricai）,日彩（RICAI）FS-40-AR1603家用床头定时落地扇 节能立式办公室静音电风扇 黑色,风力很大 风扇不错 底座很稳 质量不错 安装方便 造型美观 安全节能 扇网坚固 广角送风 睡眠风不错 风力很大,200,9,95,日彩旗舰店
400,10,149,299,"格力（GREE) FD-4012a-WG电风扇家用落地扇办公室静音三叶定时电扇 白色,10162122072, ,5.8kg,FD-4012a-WG   ,2小时以下,三档调节,正常风,3片,1级,机械式,落地扇",10162122072,格力（GREE）,格力（GREE) FD-4012a-WG电风扇家用落地扇办公室静音三叶定时电扇 白色,风扇不错 安装方便 噪音很小 风力很大 使用方便 底座很稳 颜色漂亮 扇网坚固 质量不错 风很柔和 风力很大 风扇不错 造型美观 电机好 底座很稳,400,20,93,格力TOSOT旗舰店
300,3,448,699," 灿坤（eupa)空气循环电风扇 落地扇家用办公室TSK-F8103,10175593020, ,4.85kg,tsk-f8103,无定时,三档调节,正常风,5片,2级,机械式,落地扇，空气循环扇",10175593020,灿坤（EUPA）,【下单立减30！】灿坤（eupa)空气循环电风扇 落地扇家用办公室TSK-F8103,安装方便 使用方便 风力很大 风扇不错 底座很稳 电机好 造型美观 扇网坚固 风很柔和 颜色漂亮 电机好 风力很大 使用方便,300,8,97,灿坤旗舰店
400,9,259,499,"华生FL75-B,1350514,8.92kg,广东,无定时,三档调节,正常风,3片,无,机械式,工业扇，壁扇",1350514,华生（Wahson）,华生（Wahson）FL75-B 电风扇/工业扇/工业壁扇/风扇,风力很大 质量不错 风扇不错 安装方便 使用方便 噪音很小 电机好 底座很稳 扇网坚固 广角送风 质量不错 使用方便 安全节能 安装方便,400,6,97,华生旗舰店
100,5,189,599,"TCL塔扇/电风扇/落地扇 摇头立式风扇 机械款,12266665899, ,2.0kg,中国大陆,FZ-T401,无定时,三档调节,正常风,无叶,1级,机械式,塔扇",12266665899,TCL,TCL塔扇/电风扇/落地扇 摇头立式风扇 机械款,风扇不错 风很柔和 质量不错 噪音很小 造型美观 底座很稳 安全节能 广角送风 颜色漂亮 安装方便 安装方便 风很柔和 噪音很小 电机好 造型美观,100,7,93,TCL新云尚专卖店
300,5,268,988,"日本IRIS/爱丽思空气循环扇电风扇家用台式对流扇静音摇头台扇PCF-M18C,1646264862, ,3.0kg,无定时,三档调节,正常风,3片,无,机械式,台扇，空气循环扇",1646264862,IRIS,日本IRIS/爱丽思空气循环扇电风扇家用台式对流扇静音摇头台扇PCF-M18C,造型美观 质量不错 底座很稳 风很柔和 风扇不错 广角送风 安全节能 噪音很小 使用方便 颜色漂亮 风扇不错 安全节能 声音小 质量不错 风很柔和 噪音很小 底座很稳 广角送风 睡眠风不错 质量不错 噪音很小,300,10,96,爱丽思幸辉国际专卖店
50,0,3180,5998,"戴森（Dyson）AM09无叶风扇取暖器电暖气电风扇 冷暖两用 白色,1982756220, ,2.7kg,2-8小时,二档调节,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇",1982756220,None,戴森（Dyson）AM09无叶风扇取暖器电暖气电风扇 冷暖两用 白色,风扇不错 使用方便 质量不错 风很柔和 颜色漂亮 安全节能 底座很稳 造型美观 噪音很小 电机好 质量不错 风扇不错 噪音很小 底座很稳 扇网坚固 质量不错 使用方便 使用方便 质量不错 风力很大,50,0,100,cici国际海外旗舰店
2600,50,89,119,"先科FT-101,2416024,3.04kg,中国大陆,2小时以下,三档调节,正常风,3片,2级,机械式,转页扇，台扇，壁扇",2416024,先科（SAST）,先科 SAST FT-101电风扇/学生台扇,风扇不错 安装方便 风力很大 使用方便 噪音很小 质量不错 风很柔和 造型美观 底座很稳 广角送风,2500,80,95,先科SAST官方旗舰店
100,7,599,1399,"奥克斯FS-40-A1649RC,1415062,9.89kg,广东,8小时以上,三档调节,正常风,5片,1级,落地扇，空气循环扇",1415062,奥克斯（AUX）,奥克斯（AUX) FS-40-A1649RC 电风扇/喷雾加湿风扇/冷风扇/遥控落地扇/雾化扇 白色,质量不错 风很柔和 底座很稳 造型美观 安全节能 扇网坚固 遥控方便 噪音很小 安装方便 声音小,100,10,89,奥克斯电风扇旗舰店
1900,30,99,159,"澳柯玛FT-30N612,2525481,2.9kg,中国青岛,无定时,三档调节,正常风,5片,2级,机械式,台扇",2525481,澳柯玛（AUCMA）,澳柯玛（AUCMA）FT-30N612 5叶AS扇叶台扇/电风扇,风扇不错 风力很大 安装方便 风很柔和 质量不错 使用方便 噪音很小 造型美观 颜色漂亮 底座很稳 使用方便 造型美观 颜色漂亮 底座很稳 噪音很小 广角送风,1800,60,95,澳柯玛两季品旗舰店
400,7,329,499,"先锋FS40-14BSEC（货号：DD3302）,1397829,7.5kg,宁波慈溪,DD3302,无极变速,正常风,5片,1级,机械式,落地扇",1397829,先锋（SINGFUN）,先锋（Singfun）DD3302 五叶直流变频落地扇/电风扇 ,声音小 噪音很小 安装方便 风很柔和 质量不错 使用方便 电机好 颜色漂亮 睡眠风不错 安全节能 噪音很小 安全节能 电机好,400,10,95,先锋两季品旗舰店
100,0,329,369,"美的电风扇FS40-17JRW家用立式变频遥控落地扇超静音摇头台式电扇,11893777868, ,9.6kg,中国大陆,FS40-17JRW,8小时以上,无极变速,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",11893777868,美的（Midea）,美的电风扇FS40-17JRW家用立式变频遥控落地扇超静音摇头台式电扇,底座很稳 造型美观 噪音很小 扇网坚固 风力很大 电机好 风很柔和 适合宝宝 颜色漂亮 远程遥控 噪音很小 安装方便 遥控方便 风扇不错,100,2,99,美的环境电器旗舰店
1500,40,99,119,"永生（eosin）FT-35 台扇 电风扇/桌面电风扇/办公室电扇,10361617230, ,3.0kg,中国大陆,DT1601,2小时以下,三档调节,正常风,5片,1级,机械式,台扇",10361617230,永生（eosin）,永生（eosin）FT-35 台扇 电风扇/桌面电风扇/办公室电扇,风扇不错 质量不错 安装方便 使用方便 颜色漂亮 风力很大 造型美观 风很柔和 底座很稳 噪音很小 颜色漂亮 质量不错,1400,30,94,永生旗舰店
400,20,249,2190,"艾美特（AIRMATE）【到手价189】FS4092R-WA 家用五叶遥控落地扇/电风 黑色,10158203830, ,7.62kg,FS4092R-WA,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇",10158203830,艾美特（AIRMATE）,艾美特（AIRMATE）【到手价199】FS4092R-WA 家用五叶遥控落地扇/电风 黑色,风扇不错 安装方便 风很柔和 风力很大 使用方便 噪音很小 质量不错 远程遥控 造型美观 扇网坚固 安全节能 噪音很小 风扇不错 风力很大 造型美观 底座很稳 风扇不错 使用方便 噪音很小 颜色漂亮,400,10,92,艾美特华安专卖店
900,9,69,99,"长城KYT-25（16）,4579850,1.62kg,中国大陆,17,2小时以下,三档调节,正常风,6片,2级,机械式,转页扇，台扇",4579850,长城（CHANGCHENG）,长城（CHANGCHENG）KYT-25（16）台式转页扇/电风扇/鸿运扇/台式学生宿舍家用风扇,风扇不错 质量不错 颜色漂亮 风力很大 风很柔和 使用方便 适合宝宝 睡眠风不错 扇网坚固 广角送风 风扇不错 风力很大 颜色漂亮,900,30,95,长城官方旗舰店
500,7,59,139,"荣事达KYT-30L15,4899822,1.8kg,中国大陆,JD15Z,2小时以下,三档调节,正常风,5片,2级,机械式,转页扇",4899822,荣事达（Royalstar）,荣事达（Royalstar）电风扇/台式转页扇/定时台扇/五风叶学生床头换气鸿运风扇JD15Z,质量不错 风扇不错 安全节能 风力很大 颜色漂亮 扇网坚固 电机好 噪音很小 广角送风 风很柔和 风力很大 造型美观 噪音很小 睡眠风不错,400,10,96,荣事达（Royalstar）两季品旗舰店
40,0,3180,4190,"戴森（Dyson）AM09无叶风扇取暖器电暖气电风扇 冷暖两用 黑色,1982773103, ,3.0kg,马来西亚,AM09,8小时以上,五档以上,正常风、自然风、睡眠风,无叶,5级,遥控式,落地扇",1982773103,None,戴森（Dyson）AM09无叶风扇取暖器电暖气电风扇 冷暖两用 黑色,质量不错 造型美观 风很柔和 使用方便 颜色漂亮 风扇不错 安全节能 扇网坚固 风力很大 适合宝宝 质量不错 风很柔和 安全节能 使用方便 风力很大 造型美观 质量不错 颜色漂亮 睡眠风不错 适合宝宝 电机好 使用方便 风扇不错 质量不错 质量不错 颜色漂亮 质量不错 造型美观 使用方便 风很柔和 质量不错 使用方便 质量不错,40,0,100,骏扬国际海外专营店
500,10,329,369,"美的（Midea）塔扇 静音遥控电扇 落地扇 FZ10-15BRW ,10423671988, ,5.74kg,中国大陆,FZ10-15BRW,2-8小时,三档调节,正常风、自然风、睡眠风,无叶,1级,遥控式,塔扇",10423671988,美的（Midea）,美的（Midea）塔扇 静音遥控电扇 落地扇 FZ10-15BRW ,造型美观 安装方便 遥控方便 风很柔和 使用方便 质量不错 风扇不错 远程遥控 底座很稳 广角送风 广角送风 底座很稳 遥控方便 风很柔和 质量不错 风扇不错 底座很稳 安装方便 安装方便 风扇不错 造型美观 噪音很小 安全节能 风力很大 风扇不错 质量不错 风力很大 使用方便,400,20,94,美的小家电官方旗舰店
300,4,379,899,"奥克斯FS-75,2418608,18.4kg,中国大陆,无定时,三档调节,正常风,4片,无,机械式,落地扇，工业扇，空气循环扇",2418608,奥克斯（AUX）,奥克斯（AUX）FS-75 电风扇/工业扇/落地扇/商务扇,风力很大 质量不错 风扇不错 底座很稳 扇网坚固 使用方便 噪音很小 安装方便 颜色漂亮 电机好 安装方便 底座很稳 风扇不错,300,5,97,奥克斯电风扇旗舰店
100,3,145,299,"奥克斯(AUX) 遥控静音五叶升降落地扇/电风扇/风扇FS-40-1640RC,12395337004, ,6.3kg,中国大陆,FS-40-A1640RC,2-8小时,三档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇，空气循环扇",12395337004,奥克斯（AUX）,奥克斯(AUX) 遥控静音五叶升降落地扇/电风扇/风扇FS-40-1640RC,质量不错 安装方便 使用方便 风扇不错 遥控方便 远程遥控 底座很稳 安全节能 广角送风 颜色漂亮,100,7,94,奥克斯旗舰店
800,10,199,699,"奥克斯FS-45A,1412489,8.85kg,广东佛山,无定时,三档调节,正常风,5片,无,机械式,落地扇，工业扇，空气循环扇",1412489,奥克斯（AUX）,奥克斯( AUX)  FS-45A 电风扇/18寸工业落地扇,风力很大 风扇不错 安装方便 质量不错 颜色漂亮 使用方便 噪音很小 底座很稳 电机好 扇网坚固 质量不错 风力很大,700,8,97,奥克斯电风扇旗舰店
30,0,799,899,"小米（MI）电风扇 智米落地扇智能遥控直流变频自然风静音落地扇 小米电风扇-白色,11968421258, ,5.47kg,8小时以上,四档调节,正常风、自然风、睡眠风,7片及以上,5级,遥控式,落地扇",11968421258,小米（MI）,小米（MI）电风扇 智米落地扇智能遥控直流变频自然风静音落地扇 小米电风扇-白色,使用方便 质量不错 电机好 遥控方便 噪音很小 风扇不错 风力很大 底座很稳 睡眠风不错 安全节能 电机好 风力很大 噪音很小 使用方便 广角送风,30,0,100,小米弘祥信盛专卖店
700,2,399,659,"森田SZ-AR30H,2392329,4.44kg,中国大陆,2-8小时,四档调节,正常风,5片,1级,遥控式,落地扇，台扇",2392329,森田（MORITA）,森田（MORITA） SZ-AR30H 5叶智能遥控电风扇/落地扇/台立扇,噪音很小 质量不错 风很柔和 风扇不错 安装方便 遥控方便 造型美观 电机好 睡眠风不错 使用方便 造型美观 质量不错 风力很大 睡眠风不错 噪音很小 扇网坚固 底座很稳 扇网坚固 安全节能 安装方便 遥控方便 底座很稳,700,10,98,MORITA旗舰店
100,4,498,648,"大松（TOSOT）电风扇/7叶遥控直流变频落地扇/静音风扇FSZ-3008Bg7,10254910887, ,6.8kg,FSZ-3008Bg7,2-8小时,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",10254910887,大松（TOSOT）,大松（TOSOT）电风扇/7叶遥控直流变频落地扇/静音风扇FSZ-3008Bg7,远程遥控 噪音很小 风很柔和 睡眠风不错 底座很稳 安全节能 质量不错 安装方便 颜色漂亮 适合宝宝,100,4,94,格力TOSOT旗舰店
30,1,2988,7999,"戴森Dyson 家用无叶冷暖风扇AM05升级款AM09  加湿净化AM10 电风扇可遥控 AM09-白色 冷暖两用,1972691092, ,5.0kg,2-8小时,二档调节,正常风,无叶,2级,遥控式,落地扇",1972691092,None,戴森Dyson 家用无叶冷暖风扇AM05升级款AM09  加湿净化AM10 电风扇可遥控 AM09-白色 冷暖两用,,30,1,94,海淘商全球购专营店
10,0,999,2099,"艾美特FT67UR,4533776,8.82kg,中国,8小时以上,三档调节,正常风、自然风、睡眠风,无叶,无,遥控式,塔扇",4533776,艾美特（AIRMATE）,艾美特(Airmate) FT67UR 遥控水雾塔扇/电风扇,质量不错 造型美观 噪音很小 底座很稳 适合宝宝 颜色漂亮 风很柔和 电机好 安全节能 遥控方便 广角送风 造型美观 底座很稳 质量不错 安装方便 造型美观 噪音很小 风很柔和 遥控方便 电机好 质量不错 安全节能 电机好 噪音很小 风很柔和 颜色漂亮 适合宝宝 底座很稳 造型美观 颜色漂亮 质量不错 噪音很小 适合宝宝 睡眠风不错,10,0,100,艾美特生活电器旗舰店
