p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,X_type
美的（Midea）吸尘器H7-L021E手持式充电家用无线吸尘器,美的吸尘器旗舰店,4774986,3599.00,2299.00,100,97,100,2,3,美的（Midea）,吸尘很干净 吸力持久 小巧轻便 打扫干净 吸力很大 质量不错 吸尘器不错 使用方便 噪音小 配件齐全 使用方便 吸尘器不错 质量不错 打扫干净 外观漂亮 不易缠发 噪音小 吸力很大 小巧轻便 吸尘器不错 功率大 吸力持久 噪音小 吸尘很干净 使用时间长 吸尘很干净 小巧轻便 电源线够长 噪音小 使用方便,"美的H7-L021E,4774986,4.41kg,中国大陆,地板，地毯，瓷砖，沙发，汽车,水洗尘杯,无线吸尘器,充电式（无线）,500W以下,缝隙吸头，毛刷吸头",缝隙吸头，毛刷吸头
美国Bissell（必胜）家用干湿两用吸尘器地板地毯清洁机洗地机-1713Z 钛金蓝,Bissell生活电器旗舰店,11253002348,5999.00,3599.00,10,100,10,0,0,Bissell,吸尘很干净 使用方便 配件齐全 使用方便 配件齐全 吸尘很干净,"美国Bissell（必胜）家用干湿两用吸尘器地板地毯清洁机洗地机-1713Z 钛金蓝,11253002348, ,5.5kg,中国大陆,1713Z,地板，地毯，瓷砖，厨房,拖地功能，水洗尘杯，吸拖一体，干湿两用,立式/手持吸尘器,电源式（5米-10米）,500w-999w,地面吸头",地面吸头
洁云吸尘器家用小型大功率干湿吹三用吸尘机 12升低配版,洁云旗舰店,11039287734,599.00,189.00,2200,96,2100,50,30,洁云,质量不错 吸尘器不错 吸尘很干净 使用方便 配件齐全 节能电机 小巧轻便 外观漂亮 打扫干净 吸力很大 吸尘很干净 配件齐全 使用方便 吸尘器不错 吸尘很干净 打扫干净 吸尘很干净 使用方便 质量不错,"洁云吸尘器家用小型大功率干湿吹三用吸尘机 12升低配版,11039287734, ,6.6kg,202,地板，地毯，瓷砖，厨房，汽车,水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，缝隙吸头，其他",地面吸头，缝隙吸头，其他
杰诺吸尘器 桶式大功率小型家用商用工业 干湿吹三用吸尘机30升202-30L,莫甘娜专营店,1782203179,600.00,429.00,1800,99,1800,9,10,杰诺,打扫干净 吸尘很干净 吸尘器不错 质量不错 使用方便 功率大 吸头很多 吸力很大 噪音小 电源线够长 吸尘器不错 尘杯容量大 功率大 吸尘器不错 质量不错,"杰诺吸尘器 桶式大功率小型家用商用工业 干湿吹三用吸尘机30升202-30L,1782203179, ,9.76kg,202-30L-A,地板，地毯，瓷砖，厨房，汽车，酒店,桶式吸尘器,电源式（5米-10米）,1400w-1799w,地面吸头，缝隙吸头，扁嘴吸头，小吸头，其他",地面吸头，缝隙吸头，扁嘴吸头，小吸头，其他
苏泊尔（SUPOR）VCS25A-05吸尘器 家用小型床铺除螨仪 紫外线杀菌手持除螨机,none,4114019,1299.00,499.00,400,100,400,2,1,苏泊尔（SUPOR）,吸力很大 小巧轻便 打扫干净 使用方便 吸尘器不错 外观漂亮 质量不错 功率大 吸尘很干净 配件齐全 吸力很大 噪音小 打扫干净 尘杯容量大 小巧轻便 打扫干净 小巧轻便 外观漂亮 吸尘器不错,"苏泊尔VCS25A-05,4114019,3.5kg,中国大陆,VCS25A-05,沙发，床铺,HEPA滤网（HEPA13及以上），除螨,立式/手持吸尘器,500w-999w,电源式（5米-10米）",none
信社电器家用手持立式小型大功率吸尘器 W1 蓝色拖地刷版,信社旗舰店,1705185046,599.00,299.00,800,100,800,3,1,信社（XINSHE）,电力足 质量不错 东西不错 使用方便 去球效果好 去毛效果好 外观漂亮 去毛球干净 灭蚊效果好 能抓到蚊子,"信社电器家用手持立式小型大功率吸尘器 W1 蓝色拖地刷版,1705185046, ,2.0kg,W1,地板，地毯，瓷砖，厨房，沙发，床铺,拖地功能，水洗尘杯，水洗滤网，吸拖一体，旋风过滤,立式/手持吸尘器,电源式（5米以下）,500W以下,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
宝家丽除螨仪家用螨虫除螨器 小型手持床上沙发无绳无线便携式吸尘器除螨机吸螨虫UV-W005,宝家丽生活电器旗舰店,11476578303,1299.00,599.00,100,99,100,0,1,宝家丽,吸尘很干净 外观漂亮 噪音小 使用方便 吸尘器不错 质量不错 小巧轻便 吸力很大 使用方便 吸尘器不错 质量不错 外观漂亮,"宝家丽除螨仪家用螨虫除螨器 小型手持床上沙发无绳无线便携式吸尘器除螨机吸螨虫UV-W005,11476578303, ,1.8kg,中国大陆,UV-W005,床铺,水洗尘杯，除螨,除螨仪,充电式（无线）,500W以下,床褥沙发吸头",床褥沙发吸头
Raycop瑞卡富除螨仪家用除螨机床上高级床褥净化吸尘器RS主机加底座加操纵杆 珍珠白,Raycop旗舰店,1705589998,4000.00,3699.00,100,98,100,1,2,瑞卡富（raycop）,吸尘很干净 质量不错 噪音小 吸尘器不错 使用方便 打扫干净 吸力很大 吸力持久 小巧轻便 东西不错 东西不错 打扫干净 使用方便 噪音小 打扫干净 吸尘很干净 吸尘很干净 东西不错 打扫干净 电源线够长 使用方便 吸尘器不错 吸尘器不错 质量不错 电源线够长 打扫干净 噪音小 吸尘很干净 东西不错 质量不错 使用方便 吸尘很干净 吸尘器不错 质量不错 噪音小 吸尘器不错 使用方便 打扫干净 质量不错 东西不错 吸尘很干净 打扫干净 使用方便,"Raycop瑞卡富除螨仪家用除螨机床上高级床褥净化吸尘器RS主机加底座加操纵杆 珍珠白,1705589998, ,2.3kg,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米-10米）,500W以下,床褥沙发吸头",床褥沙发吸头
杰诺 干湿两用大功率工业大型桶式吸尘器 筒式吸水商用酒店宾馆洗车场工厂301-80L-3,杰诺官方旗舰店,1056325265,2000.00,1230.00,2500,98,2500,20,10,杰诺,使用方便 还可以吧 质量不错 吸力很大 吸尘器不错 功率大 吸尘很干净 打扫干净 一般 电源线够长 使用方便 功率大 东西不错 功率大 吸力很大 吸尘器不错 电源线够长 吸尘很干净 吸尘器不错 东西不错 使用方便 质量不错 吸力很大 电源线够长 尘杯容量大 使用方便 刷头多样 配件齐全 使用方便 打扫干净 质量不错 吸力很大 功率大,"杰诺 干湿两用大功率工业大型桶式吸尘器 筒式吸水商用酒店宾馆洗车场工厂301-80L-3,1056325265, ,30.0kg,301-80L双电机/三电机,地毯，瓷砖，工业,水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他",地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他
洒哇地咔 SWDK-K380【羽泉推荐】洒哇地咔 家用无线无绳手持立式充电吸尘器 手持立式二合一 车载吸尘器,洒哇地咔官方旗舰店,4905618,800.00,799.00,500,99,400,3,1,洒哇地咔（SWDK）,使用方便 吸力很大 噪音小 配件齐全 吸尘很干净 节能电机 质量不错 打扫干净 外观漂亮,"洒哇地咔SWDK-K380,4905618,4.255kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗滤网，旋风过滤,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，扁嘴吸头",电动吸头，床褥沙发吸头，地面吸头，扁嘴吸头
松下（Panasonic）吸尘器MC-8U10H无线真空立式系列（晨曦金）,松下生活电器旗舰店,3261511,1299.00,1299.00,800,97,700,10,5,松下（Panasonic）,使用方便 吸尘很干净 质量不错 吸尘器不错 外观漂亮 小巧轻便 打扫干净 易收纳 吸力持久 吸力很大 易收纳 使用方便 刷头多样 打扫干净,"松下MC-8U10HNJ81,3261511,4.57kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，汽车，酒店,水洗尘杯，水洗滤网,立式/手持吸尘器,充电式（无线）,500W以下,地面吸头，扁嘴吸头，毛刷吸头",地面吸头，扁嘴吸头，毛刷吸头
苏泊尔（SUPOR）小型吸尘器XCL15B04C家用静音 吸尘器 V锋无死角,苏泊尔汉唐电器专卖店,11499243528,599.00,399.00,900,98,900,9,5,苏泊尔（SUPOR）,吸力很大 噪音小 吸尘很干净 小巧轻便 打扫干净 外观漂亮 使用方便 质量不错 吸尘器不错 吸力持久 吸尘器不错 噪音不大,"苏泊尔（SUPOR）小型吸尘器XCL15B04C家用静音 吸尘器 V锋无死角,11499243528, ,6.1kg,地板，地毯，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米以下）,1400w-1799w,地面吸头，缝隙吸头，毛刷吸头，小吸头，其他",地面吸头，缝隙吸头，毛刷吸头，小吸头，其他
Proscenic（浦桑尼克）smith P1小型手持床铺除螨机除螨仪家用吸尘器 樱花粉,Proscenic旗舰店,10222968689,1280.00,399.00,1200,98,1200,10,7,浦桑尼克（Proscenic）,使用方便 小巧轻便 外观漂亮 质量不错 电源线够长 吸尘器不错 吸力很大 吸尘很干净 打扫干净 功率大,"Proscenic（浦桑尼克）smith P1小型手持床铺除螨机除螨仪家用吸尘器 樱花粉,10222968689, ,2.085kg,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,床褥沙发吸头",床褥沙发吸头
志高（CHIGO）吸尘器家用大功率干湿两用小型桶式车用吸尘机20L 1600W--20L,清境电器专营店,12160571239,1499.00,499.00,700,100,700,0,0,志高（CHIGO）,质量不错 噪音小 打扫干净 吸尘器不错 吸尘很干净 外观漂亮 配件齐全 功率大 吸力很大 使用方便 吸尘器不错 配件齐全 功率大 吸尘器不错 噪音小 吸力持久 易收纳 使用方便 噪音小 易收纳 易收纳 打扫干净 吸力持久 小巧轻便 质量不错 功率大 节能电机,"志高（CHIGO）吸尘器家用大功率干湿两用小型桶式车用吸尘机20L 1600W--20L,12160571239, ,6.0kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,拖地功能，HEPA滤网（HEPA13及以上），水洗滤网，吸拖一体，干湿两用,桶式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他
TCL除螨仪小型手持吸尘器家用床铺除螨吸尘 A9L香槟金,TCL艾萌专卖店,12948600953,2899.00,299.00,500,98,500,6,5,TCL,质量不错 使用方便 外观漂亮 小巧轻便 吸力很大 吸尘很干净 打扫干净 噪音小 吸尘器不错 吸力持久 质量不错 吸力很大 外观漂亮 吸力很大 吸尘很干净 噪音小 小巧轻便 吸力很大 吸头很多 节能电机 小巧轻便 打扫干净 噪音小 吸尘很干净 使用方便 吸力很大 质量不错 噪音小 质量不错 打扫干净 配件齐全 小巧轻便 使用方便 功率大 吸力很大 小巧轻便 噪音小 吸力持久 吸尘器不错 使用方便 吸力很大 质量不错 吸尘器不错,"TCL除螨仪小型手持吸尘器家用床铺除螨吸尘 A9L香槟金,12948600953, ,2.7kg,中国大陆,TCMA9L,地板，地毯，沙发，床铺，酒店,HEPA滤网（HEPA13及以上），水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,电动吸头",电动吸头
德国Karcher 吸尘器VC2 家用强力静音吸尘器,Karcher自营官方旗舰店,4835054,899.00,699.00,100,99,100,0,2,凯驰（karcher）,电源线够长 吸尘器不错 外观漂亮 吸尘很干净 打扫干净 噪音小 质量不错 使用方便 节能电机 易收纳,"凯驰VC2,4835054,8.035kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,EPA滤网（EPA12及以下），水洗滤网，旋风过滤，尘袋式，除螨,卧式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，缝隙吸头，毛刷吸头",地面吸头，缝隙吸头，毛刷吸头
泰怡凯（TEK）吸尘器 家用 手持无线充电车载紫外线杀除螨仪除螨机 AK66-RG,泰怡凯官方旗舰店,1915435,1999.00,1749.00,600,97,500,10,5,泰怡凯（TEK）,使用方便 吸尘器不错 质量不错 打扫干净 吸头很多 小巧轻便 吸力很大 刷头多样 吸尘很干净 外观漂亮 刷头多样 噪音小 外观漂亮 小巧轻便 吸尘器不错 小巧轻便 吸力持久 配件齐全 打扫干净 刷头多样 尘杯容量大 吸头很多 外观漂亮,"泰怡凯AK66-RG,1915435,6.64kg,中国大陆,地板，地毯，瓷砖，沙发，床铺，汽车,旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他
志高（CHIGO）工业吸尘器大功率强力商用工厂车间大型干湿两用车用70L 3200W ZG-X309A(70L)豪华版,清境电器专营店,12082194418,2699.00,1599.00,300,100,300,0,0,志高（CHIGO）,打扫干净 尘杯容量大 质量不错 使用方便 噪音小 外观漂亮 配件齐全 吸尘器不错 吸尘很干净 功率大 不易缠发 打扫干净 吸力持久 配件齐全 打扫干净 吸力持久 配件齐全 不易缠发 尘杯容量大 吸力持久 噪音小 吸力持久 打扫干净 电源线够长,"志高（CHIGO）工业吸尘器大功率强力商用工厂车间大型干湿两用车用70L 3200W ZG-X309A(70L)豪华版,12082194418, ,10.0kg,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件",地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件
京华干湿两用大功率工业大型桶式吸尘器强力商用酒店宾馆洗车场工厂车间60升 标配801-60,京华吸尘器官方旗舰店,10609039967,1440.00,598.00,100,99,100,0,2,京华（JH）,吸力很大 外观漂亮 吸力持久 小巧轻便 打扫干净 质量不错 吸尘器不错 吸头很多 噪音小 配件齐全 功率大 配件齐全 吸尘器不错 吸尘器不错,"京华干湿两用大功率工业大型桶式吸尘器强力商用酒店宾馆洗车场工厂车间60升 标配801-60,10609039967, ,18.0kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,桶式吸尘器,电源式（5米-10米）,1800w及以上,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他
龙的（longde）桶式吸尘器干湿吹三用 大容量大功率家用工业商用吸水洗车场609系列 NK-GS609E(16L)黑红,龙的环境电器旗舰店,11247418215,598.00,198.00,200,97,200,6,3,龙的（longde）,吸尘器不错 打扫干净 质量不错 吸尘很干净 配件齐全 包装好 吸力持久 值得购买 很好用 吸头很多 配件齐全 吸力持久 吸头很多 可以吸水,"龙的（longde）桶式吸尘器干湿吹三用 大容量大功率家用工业商用吸水洗车场609系列 NK-GS609E(16L)黑红,11247418215, ,8.5kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,干湿两用,桶式吸尘器,电源式（5米以下）,1000w-1399w,地面吸头，缝隙吸头，扁嘴吸头，小吸头，其他",地面吸头，缝隙吸头，扁嘴吸头，小吸头，其他
karcher德国凯驰集团商用除螨静音干湿两用吸尘器家用WD5.200 5.200,凯驰专卖店,1740813811,4280.00,2499.00,20,97,20,0,1,凯驰（karcher）,质量不错 吸尘器不错 吸头很多 电源线够长 使用方便 吸尘很干净 功率大 打扫干净 吸力很大 吸力持久 吸尘器不错 功率大 质量不错 打扫干净 吸尘器不错 囤货待了解 吸力持久 质量不错,"karcher德国凯驰集团商用除螨静音干湿两用吸尘器家用WD5.200 5.200,1740813811, ,9.0kg,WD5,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店，工业,拖地功能，水洗尘杯，水洗滤网，一键断发，吸拖一体，旋风过滤，尘袋式，干湿两用，除螨,桶式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，拖地附件，其他
Bissell(必胜)吸尘器1713Z 干湿两用 吸尘/ 喷水/刷洗/吸干一步完成 适用各种地面（美国141年专业清洁品牌）,none,4431239,4999.00,3999.00,1,100,1,0,0,必胜（BISSELL）,吸尘器不错 打扫干净 质量不错 电源线够长 外观漂亮 吸尘器不错 打扫干净 质量不错 电源线够长 外观漂亮,"必胜1713Z,4431239,8.8kg,中国大陆,1713Z,地板，地毯，瓷砖，厨房，酒店，工业,拖地功能，HEPA滤网（HEPA13及以上），水洗尘杯，水洗滤网，吸拖一体，干湿两用,立式/手持吸尘器,电源式（5米-10米）,500w-999w,电动吸头，拖地附件",电动吸头，拖地附件
苏泊尔（SUPOR）水滤吸尘器XC05S24B-01大功率无线手持立式家用吸尘器 图片色,苏泊尔鹏程电器专卖店,13489986689,3799.00,3599.00,0,100,0,0,0,苏泊尔（SUPOR）,,"苏泊尔（SUPOR）水滤吸尘器XC05S24B-01大功率无线手持立式家用吸尘器 图片色,13489986689, ,11.1kg,地板，地毯，瓷砖，厨房，汽车，酒店，工业,无线吸尘器,充电式（无线）,1000w-1399w,其他",其他
伊莱克斯 Electrolux 手持吸尘器 无线吸尘器家用 ZB3114 瑞彼得 玫瑰金,伊莱克斯小家电旗舰店,10399000045,3688.00,3688.00,1,100,1,0,0,伊莱克斯（Electrolux）,,"伊莱克斯 Electrolux 手持吸尘器 无线吸尘器家用 ZB3114 瑞彼得 玫瑰金,10399000045, ,3.05kg,ZB3114,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，工业,一键断发,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头
螨虫天敌除螨吸尘器 家用除螨机紫外线除螨虫仪滚刷拍打大吸力sx-606 高贵红,螨虫天敌专卖店,1522411768,818.00,428.00,1200,97,1200,20,10,螨虫天敌,吸力很大 质量不错 使用方便 吸尘很干净 噪音小 打扫干净 吸尘器不错 电源线够长 东西不错 功率大 质量不错 使用方便 小巧轻便 吸尘很干净 噪音小 质量不错 吸尘器不错 使用方便 吸力很大 使用方便 吸力很大 配件齐全,"螨虫天敌除螨吸尘器 家用除螨机紫外线除螨虫仪滚刷拍打大吸力sx-606 高贵红,1522411768, ,3.67kg,sx-606,地板，地毯，沙发，床铺,HEPA滤网（HEPA13及以上），水洗尘杯，除螨,除螨仪,电源式（5米-10米）,500w-999w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头，其他",床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头，其他
小狗（puppy）家用除螨无线无绳手持立式充电小型吸尘器D-532,小狗电器自营旗舰店,3381353,1599.00,1599.00,2400,99,2400,30,10,小狗（puppy）,小巧轻便 使用方便 吸尘器不错 配件齐全 质量不错 打扫干净 吸头很多 外观漂亮 刷头多样 吸尘很干净,"小狗D-532,3381353,5.0kg,江苏省-苏州市,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗尘杯，水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
戴森（Dyson）V6 V7 V8 Absolute 无线手持真空吸尘器 除螨 杀菌吸尘器 美版V8 Absolute  6吸头保修两年,阳明国际专营店,1953751113,5999.00,4068.00,100,97,100,4,1,None,质量不错 使用方便 噪音小 小巧轻便 吸力很大 吸尘很干净 节能电机 外观漂亮 吸尘器不错 吸头很多 噪音小 小巧轻便 吸尘器不错 节能电机 功率大 吸头很多 噪音小 使用方便 使用方便 小巧轻便 配件齐全 吸尘很干净 吸力很大 吸尘很干净,"戴森（Dyson）V6 V7 V8 Absolute 无线手持真空吸尘器 除螨 杀菌吸尘器 美版V8 Absolute  6吸头保修两年,1953751113, ,5.0kg,地板，地毯，瓷砖，沙发，床铺，汽车，酒店,除螨仪,充电式（无线）,1000w-1399w,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头
小狗（puppy）小型手持立式便携式家用吸尘器D-526,小狗电器自营旗舰店,3510412,199.00,199.00,14000,97,14000,200,100,小狗（puppy）,小巧轻便 使用方便 吸尘器不错 外观漂亮 电源线够长 质量不错 打扫干净 吸尘很干净 吸力很大 配件齐全,"小狗D-526,3510412,3.36kg,江苏省-苏州市,D-526,地板，地毯，瓷砖，厨房，沙发,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,电源式（5米以下）,500w-999w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
戴森 dyson V6 V8 吸尘器直驱版absolute高配版6吸头工具套装床褥吸头 V8银色 宠物版animal 5吸头,汤姆潮牌全球购专营店,1965857041,5199.00,3599.00,300,99,300,3,1,None,吸尘很干净 吸头很多 配件齐全 吸力很大 使用方便 吸尘器不错 功率大 吸力持久 易收纳 小巧轻便 噪音小 吸力持久,"戴森 dyson V6 V8 吸尘器直驱版absolute高配版6吸头工具套装床褥吸头 V8银色 宠物版animal 5吸头,1965857041, ,2.8kg,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,除螨,无线吸尘器,充电式（无线）,500W以下,其他",其他
小狗（puppy）小型手持床铺除螨机除螨仪家用吸尘器D-608,小狗电器自营旗舰店,4002288,499.00,499.00,6200,98,6000,70,30,小狗（puppy）,使用方便 吸尘器不错 小巧轻便 外观漂亮 吸力很大 质量不错 电源线够长 打扫干净 吸尘很干净 吸力持久,"小狗D-608,4002288,1.91kg,江苏省-苏州市,D-608,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,其他",其他
dyson戴森V8  absolute  V7  v6 fluffy家用吸尘器无线手持除螨 V7 Motorhead新款 2年保 3吸头,安德森越洋全球购专营店,1972341594,5199.00,2699.00,100,100,100,0,0,None,,"dyson戴森V8  absolute  V7  v6 fluffy家用吸尘器无线手持除螨 V7 Motorhead新款 2年保 3吸头,1972341594, ,3.2kg,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,HEPA滤网（HEPA13及以上）,无线吸尘器,充电式（无线）,500W以下,电动吸头，缝隙吸头，毛刷吸头",电动吸头，缝隙吸头，毛刷吸头
小狗（puppy）家用无线推杆手持立式充电小型吸尘器D-511,小狗电器官方旗舰店,12159746226,3196.00,899.00,600,99,600,8,1,小狗（puppy）,吸尘很干净 外观漂亮 吸尘器不错 使用方便 质量不错 吸力很大 小巧轻便 打扫干净 功率大 配件齐全 小巧轻便,"小狗（puppy）家用无线推杆手持立式充电小型吸尘器D-511,12159746226, ,4.0kg,中国大陆,D-511,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,500W以下,电动吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",电动吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头
戴森dyson v8/v6 V8 Absolute加拿大版顶配吸尘器8吸头,骏扬国际海外专营店,1956964014,5999.00,4695.00,200,98,200,0,4,None,配件齐全 质量不错 吸头很多 功率大 吸尘很干净 吸力很大 吸力持久 使用方便 吸尘器不错 节能电机 节能电机 吸力很大 功率大 打扫干净 使用方便 吸力很大 配件齐全 易收纳 打扫干净 小巧轻便,"戴森dyson v8/v6 V8 Absolute加拿大版顶配吸尘器8吸头,1956964014, ,5.82kg,加拿大,地板，地毯，瓷砖，沙发，床铺，汽车，酒店,HEPA滤网（HEPA13及以上），除螨,立式/手持吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他",电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头，其他
飞利浦（PHILIPS）吸尘器FC6152/81车载手持无绳充电式（深黑）,飞利浦品牌旗舰店,1521124,329.00,299.00,2400,95,2300,60,30,飞利浦（PHILIPS）,使用方便 小巧轻便 质量不错 吸尘器不错 噪音小 外观漂亮 吸尘很干净 打扫干净 吸力很大 电源线够长 功率大 质量不错 吸力很大 外观漂亮 吸头很多 质量不错 吸力持久 使用方便 电源线够长 打扫干净 质量不错,"飞利浦FC6152/81,1521124,1.58kg,江苏苏州,沙发，床铺，汽车,水洗尘杯，旋风过滤,立式/手持吸尘器,充电式（无线）,缝隙吸头，毛刷吸头",缝隙吸头，毛刷吸头
莱克吸尘器VC-SPD1003L家用无线充电手持吸尘器车用,莱克旗舰店,1805255,1799.00,1499.00,3300,99,3300,20,9,莱克（LEXY）,使用方便 打扫干净 质量不错 吸尘很干净 吸尘器不错 噪音小 吸力很大 外观漂亮 功率大 小巧轻便,"莱克VC-SPD1003L,1805255,4.68kg,中国大陆,地板，地毯，瓷砖，沙发，床铺,水洗尘杯，水洗滤网，吸拖一体，旋风过滤,无线吸尘器,充电式（无线）,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头
飞利浦（PHILIPS）吸尘器家用大功率无线手持吸尘器可拆卸湿拖除螨吸尘机 深邃蓝FC6409/81-60分钟25.2V,飞利浦生活电器专卖店,10850348127,2899.00,2699.00,100,98,100,1,1,飞利浦（PHILIPS）,使用方便 吸力很大 外观漂亮 打扫干净 吸尘很干净 质量不错 小巧轻便 吸力持久 易收纳 配件齐全 配件齐全 吸力持久 外观漂亮 小巧轻便 易收纳,"飞利浦（PHILIPS）吸尘器家用大功率无线手持吸尘器可拆卸湿拖除螨吸尘机 深邃蓝FC6409/81-60分钟25.2V,10850348127, ,5.35kg,中国大陆,FC6408/FC6409,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,拖地功能，水洗尘杯，水洗滤网，吸拖一体，旋风过滤，干湿两用,立式/手持吸尘器,充电式（无线）,500w-999w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头",床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头
莱克（LEXY）吸尘器无线家用大功率魔洁VC-SPD502-3/M83,莱克电气专卖店,10126613488,4999.00,3999.00,30,100,30,0,0,莱克（LEXY）,噪音小 使用方便 吸力很大 质量不错 吸尘器不错 打扫干净 吸头很多 功率大 节能电机 吸力持久 吸力持久 打扫干净 吸力很大 使用方便 噪音小 吸头很多,"莱克（LEXY）吸尘器无线家用大功率魔洁VC-SPD502-3/M83,10126613488, ,5.0kg,地板，地毯，瓷砖,水洗尘杯，水洗滤网,无线吸尘器,充电式（无线）,500W以下,毛刷吸头，其他",毛刷吸头，其他
